,Property,Supplier2_Comparative_Mining,Title,Importance,Level,Data type,Number of entries,Number of unique entries,List up to 100 unique entries to view the structure of the event attributes,Length of the list of up to 100 unique entries,Number of duplicate entries,Number of undefined entries,Percentage of undefined entries
0,caseID,Supplier2_Comparative_Mining,Case ID,Mandatory attribute,Case level,string,349526,56127,"['4507016139 1', '4507016140 10', '4507016140 20', '4507016140 30', '4507016141 10', '4507016141 100', '4507016141 20', '4507016141 30', '4507016141 40', '4507016141 50', '4507016141 60', '4507016141 70', '4507016141 80', '4507016141 90', '4507016142 10', '4507016143 10', '4507016143 20', '4507016143 30', '4507016143 40', '4507016144 10', '4507016144 20', '4507016144 30', '4507016145 10', '4507016145 20', '4507016145 30', '4507016145 40', '4507016145 50', '4507016146 10', '4507016146 100', '4507016146 110', '4507016146 120', '4507016146 130', '4507016146 140', '4507016146 20', '4507016146 30', '4507016146 40', '4507016146 50', '4507016146 60', '4507016146 70', '4507016146 80', '4507016146 90', '4507016147 10', '4507016147 20', '4507016148 10', '4507016149 10', '4507016149 100', '4507016149 110', '4507016149 120', '4507016149 130', '4507016149 140', '4507016149 150', '4507016149 160', '4507016149 20', '4507016149 30', '4507016149 40', '4507016149 50', '4507016149 60', '4507016149 70', '4507016149 80', '4507016149 90', '4507016150 10', '4507016150 20', '4507016150 30', '4507016150 40', '4507016150 50', '4507016150 60', '4507016150 70', '4507016151 10', '4507016151 100', '4507016151 20', '4507016151 30', '4507016151 40', '4507016151 50', '4507016151 60', '4507016151 70', '4507016151 80', '4507016151 90', '4507016152 10', '4507016152 100', '4507016152 110', '4507016152 120', '4507016152 130', '4507016152 140', '4507016152 150', '4507016152 160', '4507016152 20', '4507016152 30', '4507016152 40', '4507016152 50', '4507016152 60', '4507016152 70', '4507016152 80', '4507016152 90', '4507016153 10', '4507016154 10', '4507016154 20', '4507016155 10', '4507016155 100', '4507016155 110', '4507016155 120']",100,293399,1495,0.43
1,event time:timestamp,Supplier2_Comparative_Mining,Timestamp,Mandatory attribute,Event level,datetime64[ns],349526,42173,"[numpy.datetime64('2018-03-14T03:11:00.000000000'), numpy.datetime64('2018-03-14T03:13:00.000000000'), numpy.datetime64('2018-03-14T03:14:00.000000000'), numpy.datetime64('2018-03-14T03:15:00.000000000'), numpy.datetime64('2018-03-14T03:16:00.000000000'), numpy.datetime64('2018-03-14T03:17:00.000000000'), numpy.datetime64('2018-03-14T05:33:00.000000000'), numpy.datetime64('2018-03-14T09:03:00.000000000'), numpy.datetime64('2018-03-16T08:35:00.000000000'), numpy.datetime64('2018-03-20T00:59:00.000000000'), numpy.datetime64('2018-03-20T10:13:00.000000000'), numpy.datetime64('2018-04-26T13:14:00.000000000'), numpy.datetime64('2018-03-20T07:05:00.000000000'), numpy.datetime64('NaT'), numpy.datetime64('2018-03-28T01:59:00.000000000'), numpy.datetime64('2018-04-03T14:30:00.000000000'), numpy.datetime64('2018-04-23T11:34:00.000000000'), numpy.datetime64('2018-05-09T09:17:00.000000000'), numpy.datetime64('2018-05-24T15:33:00.000000000'), numpy.datetime64('2018-03-16T12:14:00.000000000'), numpy.datetime64('2018-03-16T18:17:00.000000000'), numpy.datetime64('2018-04-06T01:59:00.000000000'), numpy.datetime64('2018-04-10T16:33:00.000000000'), numpy.datetime64('2018-04-11T12:58:00.000000000'), numpy.datetime64('2018-06-07T15:11:00.000000000'), numpy.datetime64('2018-03-16T12:16:00.000000000'), numpy.datetime64('2018-03-22T11:59:00.000000000'), numpy.datetime64('2018-04-07T01:59:00.000000000'), numpy.datetime64('2018-04-09T12:13:00.000000000'), numpy.datetime64('2018-04-10T14:29:00.000000000'), numpy.datetime64('2018-06-07T15:12:00.000000000'), numpy.datetime64('2018-03-16T15:41:00.000000000'), numpy.datetime64('2018-03-16T12:21:00.000000000'), numpy.datetime64('2018-04-05T17:38:00.000000000'), numpy.datetime64('2018-03-27T15:36:00.000000000'), numpy.datetime64('2018-03-30T13:42:00.000000000'), numpy.datetime64('2018-03-27T15:34:00.000000000'), numpy.datetime64('2018-03-23T13:16:00.000000000'), numpy.datetime64('2018-03-28T19:55:00.000000000'), numpy.datetime64('2018-03-21T00:59:00.000000000'), numpy.datetime64('2018-03-21T13:36:00.000000000'), numpy.datetime64('2018-04-04T19:06:00.000000000'), numpy.datetime64('2018-04-26T13:12:00.000000000'), numpy.datetime64('2018-03-22T08:19:00.000000000'), numpy.datetime64('2018-03-16T12:22:00.000000000'), numpy.datetime64('2018-04-01T01:59:00.000000000'), numpy.datetime64('2018-04-03T13:53:00.000000000'), numpy.datetime64('2018-04-05T09:03:00.000000000'), numpy.datetime64('2018-05-09T16:09:00.000000000'), numpy.datetime64('2018-03-16T12:36:00.000000000'), numpy.datetime64('2018-03-16T13:53:00.000000000'), numpy.datetime64('2018-04-05T10:15:00.000000000'), numpy.datetime64('2018-04-10T01:59:00.000000000'), numpy.datetime64('2018-04-10T17:19:00.000000000'), numpy.datetime64('2018-03-16T12:24:00.000000000'), numpy.datetime64('2018-03-17T00:59:00.000000000'), numpy.datetime64('2018-03-19T14:53:00.000000000'), numpy.datetime64('2018-03-22T11:44:00.000000000'), numpy.datetime64('2018-04-26T13:13:00.000000000'), numpy.datetime64('2018-03-16T12:25:00.000000000'), numpy.datetime64('2018-04-05T10:16:00.000000000'), numpy.datetime64('2018-04-10T17:22:00.000000000'), numpy.datetime64('2018-04-11T19:52:00.000000000'), numpy.datetime64('2018-03-16T12:26:00.000000000'), numpy.datetime64('2018-04-18T15:18:00.000000000'), numpy.datetime64('2018-04-19T01:59:00.000000000'), numpy.datetime64('2018-06-04T19:43:00.000000000'), numpy.datetime64('2018-06-28T16:05:00.000000000'), numpy.datetime64('2018-03-16T12:31:00.000000000'), numpy.datetime64('2018-03-24T00:59:00.000000000'), numpy.datetime64('2018-03-26T15:26:00.000000000'), numpy.datetime64('2018-03-29T13:29:00.000000000'), numpy.datetime64('2018-04-12T16:07:00.000000000'), numpy.datetime64('2018-03-26T15:28:00.000000000'), numpy.datetime64('2018-03-16T12:33:00.000000000'), numpy.datetime64('2018-04-09T15:41:00.000000000'), numpy.datetime64('2018-04-10T17:25:00.000000000'), numpy.datetime64('2018-04-11T12:40:00.000000000'), numpy.datetime64('2018-04-12T09:32:00.000000000'), numpy.datetime64('2018-04-12T18:21:00.000000000'), numpy.datetime64('2018-05-24T15:35:00.000000000'), numpy.datetime64('2018-03-16T12:34:00.000000000'), numpy.datetime64('2018-04-03T15:44:00.000000000'), numpy.datetime64('2018-04-12T09:30:00.000000000'), numpy.datetime64('2018-03-16T12:37:00.000000000'), numpy.datetime64('2018-04-20T01:59:00.000000000'), numpy.datetime64('2018-04-23T18:51:00.000000000'), numpy.datetime64('2018-04-27T10:21:00.000000000'), numpy.datetime64('2018-04-28T04:14:00.000000000'), numpy.datetime64('2018-06-28T16:02:00.000000000'), numpy.datetime64('2018-03-16T12:39:00.000000000'), numpy.datetime64('2018-03-19T15:35:00.000000000'), numpy.datetime64('2018-03-21T12:34:00.000000000'), numpy.datetime64('2018-03-20T15:59:00.000000000'), numpy.datetime64('2018-03-28T12:30:00.000000000'), numpy.datetime64('2018-03-20T15:48:00.000000000'), numpy.datetime64('2018-03-20T16:02:00.000000000'), numpy.datetime64('2018-03-16T12:43:00.000000000'), numpy.datetime64('2018-03-21T07:47:00.000000000'), numpy.datetime64('2018-04-06T17:34:00.000000000')]",100,307353,16078,4.6
2,event concept:name,Supplier2_Comparative_Mining,Activity,Mandatory attribute,Event level,string,349526,28,"['Record Service Entry Sheet', 'Record Goods Receipt', 'Create Purchase Order Item', 'Receive Order Confirmation', 'Vendor creates invoice', 'Record Invoice Receipt', 'Clear Invoice', <NA>, 'Remove Payment Block', 'Change Quantity', 'Price Change', 'Delete Purchase Order Item', 'Vendor creates debit memo', 'Revoke Invoice Receipt', 'Change Delivery Indicator', 'Block Purchase Order Item', 'Reactivate Purchase Order Item', 'Change Storage Location', 'Revoke Goods Receipt', 'Create Purchase Requisition Item', 'Update Order Confirmation', 'Change Approval for Purchase Order', 'Revoke Subsequent Invoice', 'Record Subsequent Invoice', 'Change payment term', 'Change Currency', 'Release Purchase Order', 'Set Payment Block', 'Change Rejection Indicator']",29,349498,16078,4.6
3,eventID ,Supplier2_Comparative_Mining,eventID ,Mandatory attribute,Event level,float64,349526,243,"[227000000000000.0, nan, 228000000000000.0, 229000000000000.0, 230000000000000.0, 231000000000000.0, 232000000000000.0, 233000000000000.0, 234000000000000.0, 235000000000000.0, 236000000000000.0, 237000000000000.0, 238000000000000.0, 239000000000000.0, 240000000000000.0, 241000000000000.0, 242000000000000.0, 243000000000000.0, 244000000000000.0, 245000000000000.0, 246000000000000.0, 247000000000000.0, 248000000000000.0, 249000000000000.0, 250000000000000.0, 251000000000000.0, 252000000000000.0, 253000000000000.0, 254000000000000.0, 255000000000000.0, 256000000000000.0, 257000000000000.0, 258000000000000.0, 259000000000000.0, 260000000000000.0, 261000000000000.0, 262000000000000.0, 263000000000000.0, 264000000000000.0, 265000000000000.0, 266000000000000.0, 267000000000000.0, 268000000000000.0, 269000000000000.0, 270000000000000.0, 271000000000000.0, 272000000000000.0, 273000000000000.0, 274000000000000.0, 275000000000000.0, 276000000000000.0, 277000000000000.0, 278000000000000.0, 279000000000000.0, 280000000000000.0, 281000000000000.0, 282000000000000.0, 283000000000000.0, 284000000000000.0, 285000000000000.0, 286000000000000.0, 287000000000000.0, 288000000000000.0, 289000000000000.0, 290000000000000.0, 291000000000000.0, 292000000000000.0, 293000000000000.0, 294000000000000.0, 295000000000000.0, 296000000000000.0, 297000000000000.0, 298000000000000.0, 299000000000000.0, 300000000000000.0, 301000000000000.0, 302000000000000.0, 303000000000000.0, 304000000000000.0, 305000000000000.0, 306000000000000.0, 307000000000000.0, 308000000000000.0, 309000000000000.0, 310000000000000.0, 311000000000000.0, 312000000000000.0, 313000000000000.0, 314000000000000.0, 315000000000000.0, 316000000000000.0, 317000000000000.0, 318000000000000.0, 319000000000000.0, 320000000000000.0, 321000000000000.0, 322000000000000.0, 323000000000000.0, 324000000000000.0, 325000000000000.0]",100,349283,133,0.04
4,case Document Type,Supplier2_Comparative_Mining,case Document Type,Additional attribute,Case level,string,349526,2,"['Standard PO', 'Framework order', <NA>]",3,349524,11,0
5,case Sub spend area text,Supplier2_Comparative_Mining,case Sub spend area text,Additional attribute,Case level,string,349526,109,"['Road Packed', 'Metal Containers & Lids < 30L', 'Labels', 'Plastic Containers & Lids < 30L', 'Products for Resale', 'MRO (components)', 'Vinyl Acetate Ethylenes', 'Commercial Printing', 'Trading products (old structure)', 'Isocyanates', 'Pure Acrylics', 'Polyamides & Polyamines', 'Alkyd Resins', 'Polyurethane Resins', 'Customers', 'Styrene Acrylics', 'Defoamers & Antifoams', 'Packaging - Other', 'Biocides', 'Rheology & Thixotropic Agents', 'Extenders', 'Latexes - Other', 'Chloride', 'Surfactants', 'Colorants', 'Public Relations', 'Glycol & Ether Solvents', 'undefined', 'Carbon Black Pigments', 'Opaque Polymers', 'Driers & Antiskinning Agents', 'Drums', 'Paperboard', 'Light & Heat Stabilizers', 'Waxes', 'Corrosion Inhibitors', 'Raw Material', 'Laboratory Supplies & Services', 'Catalysts & Initiators', 'Color Collateral', 'Commodity Resins Precursors', 'Ester Solvents', 'Vinyl Acrylics', 'Packaging', 'Aliphatic Solvents', 'Other Logistics Services', 'Sea', 'Mixing Machines', 'Exhibitions & seminars', 'Polyvinyl Acetates', 'Facility Management', 'Technical Services', 'Sulphate', 'Neutralisation Agents', 'Closures', 'Inorganic Pigments', 'Warehousing', 'Tubes', 'Intermediate Bulk Containers (IBC)', 'Utilities', 'Pallets', 'Marketing Support Services', 'HR Services', 'Plastic Film', 'Business Gifts & Promotional Items', 'Epoxy Resins - Liquid', 'Gasses', 'Additives - Other', 'Point of Sales', 'Spend Area Unidentified', 'QHSE Services', 'ICT Hardware', 'Jerry Cans', 'Amino Resins', 'Bags', <NA>, 'Bottles', 'Specialty Resins Precursors', 'UV Resins', 'Specialty Resins - Other', 'Ketones Solvents', 'Hybrid Containers', 'Process Automation & Instrumentation', 'Fire Protection Agents', 'Effect Pigments', 'Acrylic Resins  Liquid', 'Organic Pigments', 'Design', 'Adhesion Promotors', 'Alcohol Solvents', 'Sales Promotion', 'Plasticizers', 'Transport & Hoisting Equipment', 'Solvents - Other', 'Equipment', 'Aromatic Solvents', 'Epoxy Resins - Solid', 'Polyester Resins - Liquid', 'Caseins & Starches', 'Spectrophotometers']",100,349417,11,0
6,case Purch. Doc. Category name,Supplier2_Comparative_Mining,case Purch. Doc. Category name,Additional attribute,Case level,string,349526,1,"['Purchase order', <NA>]",2,349525,438,0.13
7,case Vendor,Supplier2_Comparative_Mining,case Vendor,Additional attribute,Case level,string,349526,1109,"['vendorID_0472', 'vendorID_0106', 'vendorID_0103', 'vendorID_0104', 'vendorID_0105', 'vendorID_0284', 'vendorID_0115', 'vendorID_0114', 'vendorID_0755', 'vendorID_0236', 'vendorID_0237', 'vendorID_0756', 'vendorID_0121', 'vendorID_0239', 'vendorID_1135', 'vendorID_0671', 'vendorID_0716', 'vendorID_0672', 'vendorID_1120', 'vendorID_0271', 'vendorID_0120', 'vendorID_0468', 'vendorID_0245', 'vendorID_0246', 'vendorID_0302', 'vendorID_0937', 'vendorID_0381', 'vendorID_0110', 'vendorID_0138', 'vendorID_0251', 'vendorID_0145', 'vendorID_0489', 'vendorID_0135', 'vendorID_0167', 'vendorID_0224', 'vendorID_0264', 'vendorID_0879', 'vendorID_0280', 'vendorID_0433', 'vendorID_0127', 'vendorID_0244', 'vendorID_0243', 'vendorID_0300', 'vendorID_0113', 'vendorID_0283', 'vendorID_0133', 'vendorID_0242', 'vendorID_0130', 'vendorID_0442', 'vendorID_0844', 'vendorID_0448', 'vendorID_0107', 'vendorID_0372', 'vendorID_0152', 'vendorID_0963', 'vendorID_0060', 'vendorID_0136', 'vendorID_0126', 'vendorID_0608', 'vendorID_0220', 'vendorID_0184', 'vendorID_1142', 'vendorID_0144', 'vendorID_0146', 'vendorID_0143', 'vendorID_0917', 'vendorID_0139', 'vendorID_0287', 'vendorID_0524', 'vendorID_0730', 'vendorID_0417', 'vendorID_0422', 'vendorID_0192', 'vendorID_0277', 'vendorID_0457', 'vendorID_0299', 'vendorID_0166', 'vendorID_1328', 'vendorID_0278', 'vendorID_0303', 'vendorID_0506', 'vendorID_1329', 'vendorID_0197', 'vendorID_0444', 'vendorID_0620', 'vendorID_0151', 'vendorID_0615', 'vendorID_0932', 'vendorID_0321', 'vendorID_0579', 'vendorID_0323', 'vendorID_0168', 'vendorID_0583', 'vendorID_0312', 'vendorID_1106', 'vendorID_0128', 'vendorID_0804', 'vendorID_0117', 'vendorID_0326', 'vendorID_0618']",100,348417,11,0
8,case Item Type,Supplier2_Comparative_Mining,case Item Type,Additional attribute,Case level,string,349526,5,"['Service', 'Standard', 'Third-party', 'Subcontracting', 'Consignment', <NA>]",6,349521,11,0
9,case Item Category,Supplier2_Comparative_Mining,case Item Category,Additional attribute,Case level,string,349526,3,"['Three way match, invoice after GR', 'Three way match, invoice before GR', <NA>, 'Consignment']",4,349523,784,0.22
