EventIndex,caseID,event time:timestamp,event concept:name,eventID ,case Spend area text,case Company,case Document Type,case Sub spend area text,case Purchasing Document,case Purch. Doc. Category name,case Vendor,case Item Type,case Item Category,case Spend classification text,case Source,case Name,case GR-Based Inv. Verif.,case Item,case concept:name,case Goods Receipt,event User,event org:resource,event Cumulative net worth (EUR)
19208,4507000440 10,2017-09-21 23:59:00,Vendor creates invoice,4080000000000.0,Logistics,companyID_0000,Framework order,Road Packed,4507000440,Purchase order,vendorID_0207,Service,"3-way match, invoice after GR",NPR,sourceSystemID_0000,vendor_0203,True,10,4507000440_00010,True,NONE,NONE,529589
19269,4507000440 10,2018-01-02 12:02:00,Clear Invoice,4080000000000.0,Logistics,companyID_0000,Framework order,Road Packed,4507000440,Purchase order,vendorID_0207,Service,"3-way match, invoice after GR",NPR,sourceSystemID_0000,vendor_0203,True,10,4507000440_00010,True,user_002,user_002,529589
19268,4507000440 10,2018-01-02 12:02:00,Clear Invoice,4080000000000.0,Logistics,companyID_0000,Framework order,Road Packed,4507000440,Purchase order,vendorID_0207,Service,"3-way match, invoice after GR",NPR,sourceSystemID_0000,vendor_0203,True,10,4507000440_00010,True,user_002,user_002,529589
19270,4507000440 10,2018-01-02 14:09:00,Record Invoice Receipt,4080000000000.0,Logistics,companyID_0000,Framework order,Road Packed,4507000440,Purchase order,vendorID_0207,Service,"3-way match, invoice after GR",NPR,sourceSystemID_0000,vendor_0203,True,10,4507000440_00010,True,user_007,user_007,529589
19271,4507000440 10,2018-01-02 23:59:00,Vendor creates invoice,4080000000000.0,Logistics,companyID_0000,Framework order,Road Packed,4507000440,Purchase order,vendorID_0207,Service,"3-way match, invoice after GR",NPR,sourceSystemID_0000,vendor_0203,True,10,4507000440_00010,True,NONE,NONE,529589
19340,4507000440 10,2018-01-03 14:06:00,Clear Invoice,4080000000000.0,Logistics,companyID_0000,Framework order,Road Packed,4507000440,Purchase order,vendorID_0207,Service,"3-way match, invoice after GR",NPR,sourceSystemID_0000,vendor_0203,True,10,4507000440_00010,True,user_005,user_005,529589
19341,4507000440 10,2018-01-03 23:59:00,Vendor creates invoice,4080000000000.0,Logistics,companyID_0000,Framework order,Road Packed,4507000440,Purchase order,vendorID_0207,Service,"3-way match, invoice after GR",NPR,sourceSystemID_0000,vendor_0203,True,10,4507000440_00010,True,NONE,NONE,529589
19575,4507000440 10,2018-01-06 23:59:00,Vendor creates invoice,4080000000000.0,Logistics,companyID_0000,Framework order,Road Packed,4507000440,Purchase order,vendorID_0207,Service,"3-way match, invoice after GR",NPR,sourceSystemID_0000,vendor_0203,True,10,4507000440_00010,True,NONE,NONE,529589
19226,4507000440 10,2018-01-15 23:59:00,Vendor creates invoice,4080000000000.0,Logistics,companyID_0000,Framework order,Road Packed,4507000440,Purchase order,vendorID_0207,Service,"3-way match, invoice after GR",NPR,sourceSystemID_0000,vendor_0203,True,10,4507000440_00010,True,NONE,NONE,529589
19227,4507000440 10,2018-01-17 13:28:00,Record Invoice Receipt,4080000000000.0,Logistics,companyID_0000,Framework order,Road Packed,4507000440,Purchase order,vendorID_0207,Service,"3-way match, invoice after GR",NPR,sourceSystemID_0000,vendor_0203,True,10,4507000440_00010,True,user_007,user_007,529589
19228,4507000440 10,2018-01-17 23:59:00,Vendor creates invoice,4080000000000.0,Logistics,companyID_0000,Framework order,Road Packed,4507000440,Purchase order,vendorID_0207,Service,"3-way match, invoice after GR",NPR,sourceSystemID_0000,vendor_0203,True,10,4507000440_00010,True,NONE,NONE,529589
19229,4507000440 10,2018-01-22 23:59:00,Vendor creates invoice,4080000000000.0,Logistics,companyID_0000,Framework order,Road Packed,4507000440,Purchase order,vendorID_0207,Service,"3-way match, invoice after GR",NPR,sourceSystemID_0000,vendor_0203,True,10,4507000440_00010,True,NONE,NONE,529589
19231,4507000440 10,2018-01-23 15:19:00,Record Goods Receipt,4080000000000.0,Logistics,companyID_0000,Framework order,Road Packed,4507000440,Purchase order,vendorID_0207,Service,"3-way match, invoice after GR",NPR,sourceSystemID_0000,vendor_0203,True,10,4507000440_00010,True,user_110,user_110,529589
19230,4507000440 10,2018-01-23 15:19:00,Record Service Entry Sheet,4080000000000.0,Logistics,companyID_0000,Framework order,Road Packed,4507000440,Purchase order,vendorID_0207,Service,"3-way match, invoice after GR",NPR,sourceSystemID_0000,vendor_0203,True,10,4507000440_00010,True,NONE,NONE,529589
19233,4507000440 10,2018-01-23 15:23:00,Record Goods Receipt,4080000000000.0,Logistics,companyID_0000,Framework order,Road Packed,4507000440,Purchase order,vendorID_0207,Service,"3-way match, invoice after GR",NPR,sourceSystemID_0000,vendor_0203,True,10,4507000440_00010,True,user_110,user_110,529589
19232,4507000440 10,2018-01-23 15:23:00,Record Service Entry Sheet,4080000000000.0,Logistics,companyID_0000,Framework order,Road Packed,4507000440,Purchase order,vendorID_0207,Service,"3-way match, invoice after GR",NPR,sourceSystemID_0000,vendor_0203,True,10,4507000440_00010,True,NONE,NONE,529589
19235,4507000440 10,2018-01-23 15:40:00,Record Goods Receipt,4080000000000.0,Logistics,companyID_0000,Framework order,Road Packed,4507000440,Purchase order,vendorID_0207,Service,"3-way match, invoice after GR",NPR,sourceSystemID_0000,vendor_0203,True,10,4507000440_00010,True,user_110,user_110,529589
19234,4507000440 10,2018-01-23 15:40:00,Record Service Entry Sheet,4080000000000.0,Logistics,companyID_0000,Framework order,Road Packed,4507000440,Purchase order,vendorID_0207,Service,"3-way match, invoice after GR",NPR,sourceSystemID_0000,vendor_0203,True,10,4507000440_00010,True,NONE,NONE,529589
19236,4507000440 10,2018-01-23 15:55:00,Record Service Entry Sheet,4080000000000.0,Logistics,companyID_0000,Framework order,Road Packed,4507000440,Purchase order,vendorID_0207,Service,"3-way match, invoice after GR",NPR,sourceSystemID_0000,vendor_0203,True,10,4507000440_00010,True,NONE,NONE,529589
19237,4507000440 10,2018-01-23 15:55:00,Record Goods Receipt,4080000000000.0,Logistics,companyID_0000,Framework order,Road Packed,4507000440,Purchase order,vendorID_0207,Service,"3-way match, invoice after GR",NPR,sourceSystemID_0000,vendor_0203,True,10,4507000440_00010,True,user_110,user_110,529589
19239,4507000440 10,2018-01-23 15:56:00,Record Goods Receipt,4080000000000.0,Logistics,companyID_0000,Framework order,Road Packed,4507000440,Purchase order,vendorID_0207,Service,"3-way match, invoice after GR",NPR,sourceSystemID_0000,vendor_0203,True,10,4507000440_00010,True,user_110,user_110,529589
