EventIndex,caseID,event time:timestamp,event concept:name,eventID ,case Spend area text,case Document Type,case Sub spend area text,case Purch. Doc. Category name,case Vendor,case Item Type,case Item Category,case Spend classification text,case Source,case Name,case GR-Based Inv. Verif.,case Item,case concept:name,case Goods Receipt,event User,event org:resource,event Cumulative net worth (EUR)
228335,4507026474 1,2018-05-01 04:27:00,Record Service Entry Sheet,384000000000000.0,Logistics,Standard PO,Road Packed,Purchase order,vendorID_0472,Service,"Three way match, invoice after GR",NPR,sourceSystemID_0000,vendor_0457,1,1,4507026474_00001,True,,,75.0
228352,4507026474 1,2018-05-01 04:27:00,Record Goods Receipt,384000000000000.0,Logistics,Standard PO,Road Packed,Purchase order,vendorID_0472,Service,"Three way match, invoice after GR",NPR,sourceSystemID_0000,vendor_0457,1,1,4507026474_00001,True,batch_07,batch_07,2810.0
228351,4507026474 1,2018-05-01 04:27:00,Create Purchase Order Item,384000000000000.0,Logistics,Standard PO,Road Packed,Purchase order,vendorID_0472,Service,"Three way match, invoice after GR",NPR,sourceSystemID_0000,vendor_0457,1,1,4507026474_00001,True,batch_07,batch_07,75.0
228349,4507026474 1,2018-05-01 04:27:00,Record Service Entry Sheet,384000000000000.0,Logistics,Standard PO,Road Packed,Purchase order,vendorID_0472,Service,"Three way match, invoice after GR",NPR,sourceSystemID_0000,vendor_0457,1,1,4507026474_00001,True,,,75.0
228348,4507026474 1,2018-05-01 04:27:00,Record Goods Receipt,384000000000000.0,Logistics,Standard PO,Road Packed,Purchase order,vendorID_0472,Service,"Three way match, invoice after GR",NPR,sourceSystemID_0000,vendor_0457,1,1,4507026474_00001,True,batch_07,batch_07,987.0
228347,4507026474 1,2018-05-01 04:27:00,Record Service Entry Sheet,384000000000000.0,Logistics,Standard PO,Road Packed,Purchase order,vendorID_0472,Service,"Three way match, invoice after GR",NPR,sourceSystemID_0000,vendor_0457,1,1,4507026474_00001,True,,,75.0
228346,4507026474 1,2018-05-01 04:27:00,Record Service Entry Sheet,384000000000000.0,Logistics,Standard PO,Road Packed,Purchase order,vendorID_0472,Service,"Three way match, invoice after GR",NPR,sourceSystemID_0000,vendor_0457,1,1,4507026474_00001,True,,,151.0
228345,4507026474 1,2018-05-01 04:27:00,Record Goods Receipt,384000000000000.0,Logistics,Standard PO,Road Packed,Purchase order,vendorID_0472,Service,"Three way match, invoice after GR",NPR,sourceSystemID_0000,vendor_0457,1,1,4507026474_00001,True,batch_07,batch_07,4405.0
228344,4507026474 1,2018-05-01 04:27:00,Record Service Entry Sheet,384000000000000.0,Logistics,Standard PO,Road Packed,Purchase order,vendorID_0472,Service,"Three way match, invoice after GR",NPR,sourceSystemID_0000,vendor_0457,1,1,4507026474_00001,True,,,151.0
228350,4507026474 1,2018-05-01 04:27:00,Record Service Entry Sheet,384000000000000.0,Logistics,Standard PO,Road Packed,Purchase order,vendorID_0472,Service,"Three way match, invoice after GR",NPR,sourceSystemID_0000,vendor_0457,1,1,4507026474_00001,True,,,151.0
