EventIndex,caseID,event time:timestamp,event concept:name,eventID ,case Sub spend area text,case Item Category,case Name,case Goods Receipt,event org:resource
8312,4507032479 1,2018-05-29 23:30:00,Record Service Entry Sheet,475000000000000.0,Road Packed,"3-way match, invoice after GR",vendor_0229,True,NONE
8321,4507032479 1,2018-05-29 23:30:00,Record Service Entry Sheet,475000000000000.0,Road Packed,"3-way match, invoice after GR",vendor_0229,True,NONE
8319,4507032479 1,2018-05-29 23:30:00,Record Service Entry Sheet,475000000000000.0,Road Packed,"3-way match, invoice after GR",vendor_0229,True,NONE
8318,4507032479 1,2018-05-29 23:30:00,Create Purchase Order Item,475000000000000.0,Road Packed,"3-way match, invoice after GR",vendor_0229,True,batch_02
8317,4507032479 1,2018-05-29 23:30:00,Record Service Entry Sheet,475000000000000.0,Road Packed,"3-way match, invoice after GR",vendor_0229,True,NONE
8320,4507032479 1,2018-05-29 23:30:00,Record Service Entry Sheet,475000000000000.0,Road Packed,"3-way match, invoice after GR",vendor_0229,True,NONE
8315,4507032479 1,2018-05-29 23:30:00,Record Service Entry Sheet,475000000000000.0,Road Packed,"3-way match, invoice after GR",vendor_0229,True,NONE
8314,4507032479 1,2018-05-29 23:30:00,Record Service Entry Sheet,475000000000000.0,Road Packed,"3-way match, invoice after GR",vendor_0229,True,NONE
8313,4507032479 1,2018-05-29 23:30:00,Record Service Entry Sheet,475000000000000.0,Road Packed,"3-way match, invoice after GR",vendor_0229,True,NONE
8316,4507032479 1,2018-05-29 23:30:00,Record Service Entry Sheet,475000000000000.0,Road Packed,"3-way match, invoice after GR",vendor_0229,True,NONE
8346,4507032479 1,2018-05-29 23:31:00,Record Service Entry Sheet,475000000000000.0,Road Packed,"3-way match, invoice after GR",vendor_0229,True,NONE
8341,4507032479 1,2018-05-29 23:31:00,Record Service Entry Sheet,475000000000000.0,Road Packed,"3-way match, invoice after GR",vendor_0229,True,NONE
8342,4507032479 1,2018-05-29 23:31:00,Record Service Entry Sheet,475000000000000.0,Road Packed,"3-way match, invoice after GR",vendor_0229,True,NONE
8343,4507032479 1,2018-05-29 23:31:00,Record Service Entry Sheet,475000000000000.0,Road Packed,"3-way match, invoice after GR",vendor_0229,True,NONE
8344,4507032479 1,2018-05-29 23:31:00,Record Service Entry Sheet,475000000000000.0,Road Packed,"3-way match, invoice after GR",vendor_0229,True,NONE
8345,4507032479 1,2018-05-29 23:31:00,Record Service Entry Sheet,475000000000000.0,Road Packed,"3-way match, invoice after GR",vendor_0229,True,NONE
8347,4507032479 1,2018-05-29 23:31:00,Record Service Entry Sheet,475000000000000.0,Road Packed,"3-way match, invoice after GR",vendor_0229,True,NONE
8352,4507032479 1,2018-05-29 23:31:00,Record Service Entry Sheet,475000000000000.0,Road Packed,"3-way match, invoice after GR",vendor_0229,True,NONE
8349,4507032479 1,2018-05-29 23:31:00,Record Service Entry Sheet,475000000000000.0,Road Packed,"3-way match, invoice after GR",vendor_0229,True,NONE
8350,4507032479 1,2018-05-29 23:31:00,Record Service Entry Sheet,475000000000000.0,Road Packed,"3-way match, invoice after GR",vendor_0229,True,NONE
8351,4507032479 1,2018-05-29 23:31:00,Record Service Entry Sheet,475000000000000.0,Road Packed,"3-way match, invoice after GR",vendor_0229,True,NONE
8340,4507032479 1,2018-05-29 23:31:00,Record Service Entry Sheet,475000000000000.0,Road Packed,"3-way match, invoice after GR",vendor_0229,True,NONE
8353,4507032479 1,2018-05-29 23:31:00,Record Service Entry Sheet,475000000000000.0,Road Packed,"3-way match, invoice after GR",vendor_0229,True,NONE
